# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bern_1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/fn/y98bp0qn4wggf910v31fp44c0000gp/T/tmpwehwblp5/cgt70msg.json
# init = 2 (Default)
# random
#   seed = 68769
# output
#   file = /Users/dominikwozniak/study/data_analytics/results/bern_1-20220305105506_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.04554
# Diagonal elements of inverse mass matrix:
# 0.286718
-11.0105,0.980857,1.04554,1,3,0,11.4444,0.599607
-11.0847,0.978082,1.04554,1,1,0,11.0895,0.622337
-12.173,0.71692,1.04554,1,3,0,12.6516,0.370721
-11.0221,1,1.04554,1,3,0,11.8406,0.520367
-11.223,0.939031,1.04554,1,1,0,11.2249,0.472802
-12.0029,0.63084,1.04554,2,3,0,13.6402,0.730378
-11.3285,0.914902,1.04554,2,3,0,12.6375,0.456078
-11.1004,0.951174,1.04554,2,3,0,11.6631,0.626055
-12.7154,0.678918,1.04554,1,3,0,12.7702,0.773961
-12.3329,1,1.04554,2,3,0,12.8983,0.752455
-11.4318,0.892955,1.04554,2,3,0,13.5468,0.678227
-10.9691,1,1.04554,1,3,0,11.3319,0.573614
-11.1584,0.953903,1.04554,2,3,0,11.2486,0.484835
-11.2354,0.9762,1.04554,1,1,0,11.2834,0.470667
-11.3453,0.966335,1.04554,1,1,0,11.412,0.453657
-11.0523,1,1.04554,1,1,0,11.2569,0.510371
-11.0173,1,1.04554,1,1,0,11.0524,0.522187
-10.9658,0.993455,1.04554,2,3,0,11.0531,0.557744
-10.9771,0.992617,1.04554,2,3,0,11.0017,0.581672
-11.0172,0.981563,1.04554,2,3,0,11.0764,0.522239
-11.3333,0.905753,1.04554,1,1,0,11.3333,0.455373
-11.3333,0.383973,1.04554,1,3,0,14.0188,0.455373
-11.0647,1,1.04554,1,1,0,11.2555,0.506783
-11.4593,0.826858,1.04554,2,3,0,12.0504,0.681419
-11.0118,1,1.04554,2,3,0,11.3998,0.52438
-11.5489,0.631162,1.04554,2,3,0,13.1687,0.691152
-11.2497,1,1.04554,1,1,0,11.5032,0.653792
-11.0393,1,1.04554,1,1,0,11.1905,0.609805
-11.1778,0.95274,1.04554,1,3,0,11.3393,0.481026
-11.0416,0.977234,1.04554,2,3,0,11.3089,0.610536
-11.0416,0.530115,1.04554,1,3,0,12.9512,0.610536
-11.1646,0.988139,1.04554,2,3,0,11.1724,0.639347
-10.975,0.940002,1.04554,2,3,0,11.5382,0.544921
-10.9824,0.999239,1.04554,2,3,0,10.9844,0.539327
-11.2662,0.918828,1.04554,1,3,0,11.3692,0.656317
-11.2662,0.963976,1.04554,1,1,0,11.4246,0.656317
-11.2718,0.998443,1.04554,1,1,0,11.3588,0.657141
-10.9881,0.967074,1.04554,2,3,0,11.4878,0.589029
-11.1909,0.953889,1.04554,1,3,0,11.1922,0.644112
-11.9021,0.922091,1.04554,2,3,0,11.9642,0.392822
-11.7236,1,1.04554,1,1,0,12.0509,0.409432
-10.9658,1,1.04554,1,3,0,11.5596,0.557655
-11.1849,0.807111,1.04554,2,3,0,11.9716,0.643042
-11.1849,0.785345,1.04554,1,1,0,11.8239,0.643042
-11.7484,0.948949,1.04554,2,3,0,11.7547,0.710074
-11.1013,1,1.04554,1,3,0,11.5654,0.62626
-11.1013,0.395176,1.04554,1,3,0,13.9055,0.62626
-10.9673,0.99743,1.04554,2,3,0,11.1136,0.55405
-11.0035,0.902324,1.04554,2,3,0,11.4512,0.527955
-11.1403,0.95483,1.04554,1,3,0,11.2476,0.63463
-10.9982,1,1.04554,1,1,0,11.098,0.594218
-11.122,0.927161,1.04554,2,3,0,11.3956,0.492534
-10.9889,0.928989,1.04554,2,3,0,11.5069,0.589444
-11.1914,0.918866,1.04554,2,3,0,11.4534,0.644188
-11.0265,1,1.04554,2,3,0,11.1496,0.518774
-11.0202,1,1.04554,1,1,0,11.0406,0.521104
-11.4915,0.89154,1.04554,1,3,0,11.4926,0.434603
-12.3317,0.776471,1.04554,1,1,0,12.3916,0.359092
-11.8799,1,1.04554,1,1,0,12.4029,0.394787
-15.1367,0.407069,1.04554,1,1,0,15.1398,0.227356
-11.2034,1,1.04554,1,3,0,14.0872,0.476275
-12.0211,0.54242,1.04554,2,3,0,14.2641,0.731709
-13.4853,0.718337,1.04554,1,1,0,13.5367,0.808579
-11.6123,1,1.04554,2,3,0,12.9957,0.420891
-12.4195,0.786017,1.04554,1,1,0,12.5103,0.352997
-12.4195,0.344498,1.04554,1,1,0,15.5427,0.352997
-11.7614,1,1.04554,2,3,0,12.3694,0.405745
-11.5528,1,1.04554,1,1,0,11.8449,0.427459
-10.9699,1,1.04554,1,3,0,11.409,0.550265
-11.3134,0.87411,1.04554,2,3,0,11.6523,0.458301
-13.6375,0.568833,1.04554,1,3,0,13.6425,0.285377
-12.7546,1,1.04554,1,1,0,13.7652,0.331594
-13.4174,0.836005,1.04554,1,1,0,13.82,0.295803
-11.4285,1,1.04554,1,1,0,12.8294,0.442418
-12.6926,0.86907,1.04554,2,3,0,12.7228,0.772777
-11.2717,0.911612,1.04554,2,3,0,13.595,0.657125
-11.2509,1,1.04554,1,1,0,11.3453,0.653975
-11.1079,0.931342,1.04554,2,3,0,11.7725,0.62777
-11.6591,0.855442,1.04554,1,1,0,11.6595,0.70201
-11.2854,1,1.04554,2,3,0,11.5517,0.46256
-11.8431,0.842202,1.04554,1,1,0,11.8785,0.398098
-11.8431,0.90263,1.04554,1,1,0,12.2963,0.398098
-12.2373,0.75839,1.04554,2,3,0,13.9362,0.746458
-11.1814,1,1.04554,1,3,0,11.9504,0.642425
-11.1123,1,1.04554,1,1,0,11.1932,0.628739
-11.4512,0.845802,1.04554,2,3,0,12.1518,0.68048
-11.2424,1,1.04554,1,1,0,11.4393,0.652649
-11.109,0.930485,1.04554,2,3,0,11.7629,0.628007
-10.9679,0.877022,1.04554,2,3,0,11.8062,0.571841
-10.973,0.998429,1.04554,1,1,0,10.9733,0.578119
-10.9899,0.994865,1.04554,1,1,0,10.9905,0.590008
-10.975,1,1.04554,2,3,0,10.9866,0.579939
-11.3725,0.893152,1.04554,1,3,0,11.4654,0.449857
-11.3422,1,1.04554,1,1,0,11.4754,0.45409
-11.8384,0.956064,1.04554,2,3,0,11.8388,0.717664
-11.3853,1,1.04554,2,3,0,11.7669,0.672588
-11.7163,0.914821,1.04554,1,1,0,11.7806,0.70724
-11.0493,1,1.04554,2,3,0,11.6045,0.51128
-10.9917,1,1.04554,2,3,0,11.0336,0.533748
-11.1537,0.950574,1.04554,1,1,0,11.1537,0.485785
-11.281,0.960975,1.04554,1,1,0,11.3211,0.463239
-10.9655,1,1.04554,1,3,0,11.2117,0.558788
-12.1128,0.7274,1.04554,1,3,0,12.2345,0.375369
-11.6668,1,1.04554,1,1,0,12.1252,0.415149
-10.988,0.988698,1.04554,2,3,0,11.7311,0.588948
