# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bern_1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/fn/y98bp0qn4wggf910v31fp44c0000gp/T/tmpwehwblp5/cgt70msg.json
# init = 2 (Default)
# random
#   seed = 68769
# output
#   file = /Users/dominikwozniak/study/data_analytics/results/bern_1-20220305105506_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.01835
# Diagonal elements of inverse mass matrix:
# 0.285149
-10.9928,0.9951,1.01835,1,1,0,10.9938,0.591574
-10.9928,0.282486,1.01835,1,3,0,14.9208,0.591574
-10.9795,0.991438,1.01835,2,3,0,11.0489,0.583483
-11.0394,0.992499,1.01835,2,3,0,11.0437,0.514407
-11.283,0.972389,1.01835,2,3,0,11.2844,0.462937
-11.3796,0.97204,1.01835,1,1,0,11.4557,0.448882
-12.1168,0.936338,1.01835,2,3,0,12.149,0.375057
-12.0074,1,1.01835,1,1,0,12.3652,0.383845
-11.3316,0.919237,1.01835,1,3,0,12.7556,0.665605
-11.3108,1,1.01835,1,1,0,11.4164,0.662763
-11.2029,0.700264,1.01835,2,3,0,13.5987,0.476353
-11.6086,0.887946,1.01835,1,1,0,11.6295,0.421288
-13.4605,0.826011,1.01835,2,3,0,13.4675,0.807603
-11.0227,1,1.01835,1,3,0,13.1062,0.604262
-11.0427,0.99439,1.01835,1,1,0,11.0554,0.610858
-11.1989,0.944152,1.01835,1,3,0,11.395,0.477091
-11.0896,1,1.01835,1,1,0,11.1869,0.500196
-11.0419,1,1.01835,2,3,0,11.0903,0.513599
-11.2024,0.917927,1.01835,2,3,0,11.5331,0.646096
-10.9655,1,1.01835,1,3,0,11.1656,0.566408
-10.9655,0.447404,1.01835,1,3,0,13.4304,0.566408
-10.9655,0.870068,1.01835,1,3,0,11.4212,0.566408
-10.9655,0.595384,1.01835,1,3,0,12.6296,0.566408
-11.0327,0.981881,1.01835,1,3,0,11.047,0.516631
-11.0327,0.797019,1.01835,1,3,0,11.7154,0.516631
-11.4371,0.913505,1.01835,1,3,0,11.4375,0.441323
-12.3468,0.928377,1.01835,2,3,0,12.3472,0.753307
-12.3468,0.838416,1.01835,1,1,0,13.1765,0.753307
-12.4602,0.975612,1.01835,1,1,0,12.774,0.760025
-12.6137,0.96781,1.01835,1,1,0,12.941,0.768588
-12.1876,1,1.01835,1,1,0,12.7275,0.743216
-11.8321,1,1.01835,2,3,0,12.2519,0.717154
-12.1717,0.923702,1.01835,1,1,0,12.322,0.742163
-11.0008,0.963378,1.01835,1,3,0,12.256,0.529158
-11.0259,0.992633,1.01835,1,1,0,11.0324,0.518989
-11.1613,0.987272,1.01835,2,3,0,11.1628,0.638709
-11.1748,0.998768,1.01835,2,3,0,11.2268,0.641235
-12.2747,0.873392,1.01835,2,3,0,12.3754,0.36317
-10.991,0.987451,1.01835,1,3,0,12.2461,0.590583
-11.0475,0.994684,1.01835,2,3,0,11.0488,0.612324
-11.0223,1,1.01835,1,1,0,11.0522,0.604105
-14.7284,0.563748,1.01835,2,3,0,15.5915,0.849608
-11.4875,0.973271,1.01835,1,3,0,14.1102,0.684579
-12.0811,0.864525,1.01835,1,1,0,12.1245,0.735983
-11.3246,1,1.01835,1,1,0,11.8988,0.664661
